GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "20015","Butler, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1572213,1590528,1664347,1515150,1708264,1907438,1997197,1774530,1938212,1901562,1945947,1683841,1675890,1808200,1879582,2424801,2298167,2351738,2387802,2412601
 "20015","Butler, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",93.371,94.458,98.842,89.982,101.450,113.279,118.610,105.386,115.107,112.930,115.566,100.000,99.528,107.385,111.625,144.004,136.484,139.665,141.807,143.280
 "20015","Butler, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1059816,1073750,1178140,1121828,1334724,1569942,1732753,1557437,1665939,1710246,1890711,1683841,1717354,1881363,1972128,2447428,2488057,2757111,2702253,2566780
 "20017","Chase, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",80555,82142,77597,84751,97528,106854,98228,98794,98933,94578,82924,98860,91907,94699,108854,113389,119972,131682,129757,125281
 "20017","Chase, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",81.484,83.089,78.491,85.728,98.653,108.086,99.361,99.933,100.073,95.668,83.880,100.000,92.966,95.790,110.109,114.696,121.355,133.200,131.252,126.725
 "20017","Chase, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",53134,53582,53231,62819,72495,82004,83601,88253,88440,87839,81306,98860,92932,94816,104683,105507,116456,129665,129506,126006
 "20019","Chautauqua, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",66099,87081,75336,70841,68760,66272,62909,64162,71756,72745,72881,73326,77760,75785,73732,74240,72472,76469,72755,76430
 "20019","Chautauqua, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",90.143,118.758,102.741,96.611,93.773,90.380,85.793,87.502,97.859,99.208,99.393,100.000,106.046,103.353,100.554,101.246,98.835,104.286,99.221,104.234
 "20019","Chautauqua, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",47889,63479,58318,57748,58358,57871,57209,61822,64131,68609,72869,73326,80279,78625,72403,74029,73553,79935,77674,82164
 "20021","Cherokee, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",478711,474675,496824,502167,516203,518790,562864,583198,560656,599941,578959,562154,524291,523173,530682,585133,641250,688090,695416,717388
 "20021","Cherokee, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",85.157,84.439,88.379,89.329,91.826,92.286,100.126,103.743,99.733,106.722,102.989,100.000,93.265,93.066,94.401,104.088,114.070,122.402,123.706,127.614
 "20021","Cherokee, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",384750,385120,409466,426000,448483,464471,518939,543335,529267,569607,565462,562154,535788,543186,563983,624992,697627,768945,789546,810962
 "20023","Cheyenne, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",96607,80716,89117,70160,75878,73456,100500,103209,118046,125386,142361,120370,145302,130514,125864,119204,103837,126796,125305,138108
 "20023","Cheyenne, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",80.258,67.057,74.036,58.287,63.037,61.025,83.492,85.743,98.070,104.167,118.270,100.000,120.713,108.427,104.564,99.032,86.265,105.339,104.100,114.736
 "20023","Cheyenne, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",63731,53348,61906,51427,58156,58087,85241,91628,93210,106858,139478,120370,149434,129470,113431,102958,93566,116846,115915,124036
 "20025","Clark, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",80502,91122,102704,84148,95903,91250,83500,93194,98251,108440,101702,103700,105126,105177,115921,148223,203965,223880,213455,207497
 "20025","Clark, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",77.629,87.871,99.039,81.145,92.481,87.994,80.521,89.868,94.745,104.570,98.072,100.000,101.375,101.424,111.785,142.934,196.687,215.891,205.838,200.093
 "20025","Clark, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",54517,60564,73943,66272,74770,71785,72289,86903,77202,93904,100681,103700,108754,105665,105482,126625,182428,201848,194376,185287
 "20027","Clay, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",197287,205248,212106,247273,242148,256772,259244,303286,297933,304422,289226,268002,286529,267958,247264,238936,249927,266466,282184,268434
 "20027","Clay, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",73.614,76.584,79.143,92.265,90.353,95.809,96.732,113.165,111.168,113.589,107.919,100.000,106.913,99.983,92.262,89.154,93.256,99.427,105.291,100.161
 "20027","Clay, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",148987,157645,167406,204682,200983,217986,233156,277449,265144,279301,281367,268002,294771,276872,257945,251192,267703,290243,313137,300236
 "20029","Cloud, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",282639,268792,299816,313322,314047,327406,339298,386345,342533,343486,350560,347900,345206,349929,338875,338285,329103,341576,357553,347936
 "20029","Cloud, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",81.241,77.261,86.179,90.061,90.269,94.109,97.527,111.051,98.457,98.731,100.765,100.000,99.225,100.583,97.406,97.236,94.597,98.182,102.775,100.010
 "20029","Cloud, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",213839,206642,234804,255116,258601,277286,304032,356730,312574,320060,342401,347900,354559,363894,354027,354227,349669,369903,397221,391004
 "20031","Coffey, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",594871,557395,564626,626585,580576,605011,609501,625427,674366,727587,737265,802307,795599,801566,785429,832392,830692,776864,773136,804570
 "20031","Coffey, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",74.145,69.474,70.375,78.098,72.363,75.409,75.969,77.954,84.053,90.687,91.893,100.000,99.164,99.908,97.896,103.750,103.538,96.829,96.364,100.282
 "20031","Coffey, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",486442,441408,467799,534089,512806,566007,579615,597299,687530,732591,750991,802307,822223,872918,852729,878169,896111,860940,879157,906602
 "20033","Comanche, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",71188,78722,90279,72555,79567,79314,76644,78493,75126,74404,63645,70498,96121,80222,71215,67556,73413,64045,68988,60603
 "20033","Comanche, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",100.979,111.666,128.059,102.918,112.864,112.506,108.719,111.341,106.565,105.542,90.279,100.000,136.346,113.794,101.017,95.828,104.135,90.847,97.858,85.964
 "20033","Comanche, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",47525,50503,66735,59414,67941,67895,73816,81862,63657,69548,65275,70498,100450,82768,59776,56008,64399,58739,63458,55119
 "20035","Cowley, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1131651,1112192,1095746,1101120,1056892,1134252,1174243,1171602,1079455,1106071,1133480,1144481,1111058,1194064,1272898,1265071,1292631,1314131,1246988,1222928
